"Record ID","Deal Name","Project ID","Tier 1 (Reseller)","Tier 2 (Reseller Sales Org)","AADT (site)","Deal Stage","State (install site)","Country (install site)","Latitude/Longitude (install site)","Postal Code (install site)"
"16896631615","Boulder Creek Communications LLC - 4201 US-9","","Apex Omnisource","RevStream","58000","3. Contracts & Committments","NJ","USA","40.273609579579436, -74.29371161491572","07728"
"16896631422","Boulder Creek Communications LLC - 94 US-9","","Apex Omnisource","RevStream","57000","3. Contracts & Committments","NJ","USA","40.294104301927085, -74.29969616045929","07726"
"16896594956","Boulder Creek Communications LLC - 3580 US-9","","Apex Omnisource","RevStream","50000","3. Contracts & Committments","NJ","USA","40.23891424147089, -74.27556259474171","07728"
"16896594762","Boulder Creek Communications LLC - 3320 US-9","","Apex Omnisource","RevStream","50000","3. Contracts & Committments","NJ","USA","40.2219046977888, -74.26866734016991","07728"
"16896630965","Boulder Creek Communications LLC - 3930 US-9","","Apex Omnisource","RevStream","45000","3. Contracts & Committments","NJ","USA","40.15524269892273, -74.23000027421196","07731"
"16896592680","Klok Applications, LLC - 24756 Redlands Blvd","","Apex Omnisource","RevStream","120000","1. Qualifications","CA","USA","34.06349524646184, -117.26444553324158","92354"
"16896498761","Klok Applications, LLC - 1030 Duane Ave","","Apex Omnisource","RevStream","164000","1. Qualifications","CA","USA","37.37847,-121.95252","95008"
"16896498592","Klok Applications, LLC - 6833 indiana avenue","","Apex Omnisource","RevStream","170000","1. Qualifications","CA","USA","33.942880,-117.392490","92506"
"16896498504","Klok Applications, LLC - 3230 vine street","","Apex Omnisource","RevStream","200000","1. Qualifications","CA","USA","33.985380,-117.364120","92507"
"16896498342","Klok Applications, LLC - 1109 Smith Lane","","Apex Omnisource","RevStream","166000","1. Qualifications","CA","USA","38.73888,-121.27444","95661"
"16896592035","Klok Applications, LLC - 413 w. sunset blvd","","Apex Omnisource","RevStream","256000","3. Contracts & Committments","CA","USA","37.670040,-122.110540","94541"
"16896498083","Klok Applications, LLC - 1425 E. fourth street","","Apex Omnisource","RevStream","218000","3. Contracts & Committments","CA","USA","34.077930,-117.625480","91764"
"16896591726","Klok Applications, LLC - 1600 Duane Ame","","Apex Omnisource","RevStream","171000","1. Qualifications","CA","USA","37.37964,-121.95733","95054"
"16896497821","(CANCELLED) Klok Applications, LLC - 6360 Tupelo Dr","","Apex Omnisource","RevStream","180000"," Deal Lost","CA","USA","38.70353,-121.31497","95621"
"16896497717","Klok Applications, LLC - 888 Hinckley Rd","","Apex Omnisource","RevStream","202000","5A. Site Hold Paid","CA","USA","37.59730,-122.37035","94010"
"16896497572","Klok Applications, LLC - 2785 Palisades Drive","","Apex Omnisource","RevStream","141000","1. Qualifications","CA","USA","33.881070, -117.622320","92878"
"16896497424","Klok Applications, LLC - 2701 Westwood Dr","","Apex Omnisource","RevStream","144000","1. Qualifications","NV","USA","36.14145,-115.17254","89109"
"16896484177","Klok Applications, LLC - 935 Sierra Vista Ave","","Apex Omnisource","RevStream","160000","1. Qualifications","CA","USA","37.41851,-122.08945","94043"
"16896497044","Klok Applications, LLC - 41065 1st Street","","Apex Omnisource","RevStream","213000","1. Qualifications","CA","USA","33.491450,-117.145520","92590"
"16896496924","Klok Applications, LLC - 10781 Indiana Ave.","","Apex Omnisource","RevStream","200000","3. Contracts & Committments","CA","USA","33.901000,-117.465890","92503"
"16896496765","Klok Applications, LLC - 41085 Golden Gate Circle,","","Apex Omnisource","RevStream","150000","1. Qualifications","CA","USA","33.538030,-117.174600","92562"
"16895580928","Team Adam's LLC - 18810 S Nogales Hwy","","Apex Omnisource","SVR-Surge Venture Resellers","21000","3. Contracts & Committments","AZ","USA","31.908475031906892, -110.98286938258975","85614"
"16895580694","Team Adam's LLC - 40 S Broadway Place","","Apex Omnisource","SVR-Surge Venture Resellers","43000","3. Contracts & Committments","AZ","USA","32.22051407730504, -110.83197011720861","85710"
"16895579731","Team Adam's LLC - 632 State Hwy 93","","Apex Omnisource","SVR-Surge Venture Resellers","23000","3. Contracts & Committments","AZ","USA","31.549344071519705, -110.2580442816979","75635"
"16895267890","Constellation Growth Partners LLC - 408 Bellemeade Street","","Apex Omnisource","RevStream","11000","3. Contracts & Committments","NC","USA","36.076060026090616, -79.79550582947874","27401"
"16895158143","Constellation Growth Partners LLC - 5000 W Empire Mall Sioux Falls","","Apex Omnisource","RevStream","49000","3. Contracts & Committments","SD","USA","43.51185917127438, -96.77855399812768","Sioux Falls"
"16894956976","Access Digital - 33.69051468711582, -117.76930588647382 (Walnut Ave)","","C&M Consultants","Access Digital","310000","1. Qualifications","California","USA","33.69051468711582, -117.76930588647382","92604"
"16893938483","Access Digital - 258 E Redlands Blvd, San Bernardino, CA 92408","","C&M Consultants","Access Digital","182000","1. Qualifications","ca","USA","","92408"
"16893937727","(CANCELLED)Hindi-Mex - 12775 Encinitas Ave Los Angeles CA 91342","","C&M Consultants","Access Digital","150000"," Deal Lost","CA","USA","","91342"
"16893569543","SITE HOLD SWS Beltway Holdings/Triangle Group - 25 Waterside Plaza","","SWS","SWS","96000","3. Contracts & Committments","NY","USA","40.737539352471764, -73.97379793415489","10010"
"16888116327","D&S Properties LLC - 100 Indian Walk Lowell, NC 28098","","C&M Consultants","Securidel","140000","5A. Site Hold Paid","NC","USA","35.261476336883106, -81.1012629202729","28098"
"16885160993","Threat Detect Inc - 834 lehua Ave Pearl City HI 96782","","TD Synnex","Threat Detect","201000","1. Qualifications","HI","USA","","96782"
"16884695041","(Cancelled) RWC Digital LLC - (TG) 30 Minue St, Carteret, NJ 07008","","Apex Omnisource","RevStream","219000"," Deal Lost","NJ","USA","","07008"
"16884694084","Three Corners Communications, LLC - 2775 Sunrise Hwy","","Apex Omnisource","SVR-Surge Venture Resellers","110000","1. Qualifications","NY","USA","40.74345,-73.19729","11752"
"16884606905","Three Corners Communications, LLC - 4465 Sunrise Hwy","","Apex Omnisource","SVR-Surge Venture Resellers","133000","3. Contracts & Committments","NY","USA","40.75345984947486, -73.12214740622231","11716"
"16884606585","Three Corners Communications, LLC - 5670 Sunrise Hwy","","Apex Omnisource","SVR-Surge Venture Resellers","127000","Partial Payment Received","NY","USA","40.7669789974294, -73.0711076668884","11782"
"16884606218","Three Corners Communications, LLC - 154-18 Rockaway Blvd","","Apex Omnisource","SVR-Surge Venture Resellers","210000","Partial Payment Received","NY","USA","40.66773229006628, -73.78139007321926","11434"
"16884605848","Three Corners Communications, LLC - 150-20 Hillside Ave","","Apex Omnisource","SVR-Surge Venture Resellers","27000","3. Contracts & Committments","NY","USA","40.70667397385143, -73.80581116148169","11432"
